Algorithm,Converged,Final_Gap,Total_Iterations,Total_Time,Avg_Time_Per_Iter,Final_Gradient_Norm,Final_Constraint_Violation
F2CSA,True,6.7426551989520855e-06,10000,588.9136204719543,0.05889136204719544,3.769130493661959e-09,0.0
DSBLO,True,6.809282125130344e-05,10000,763.2688193321228,0.07632688193321228,0.09013798834379542,0.0
