Algorithm,Gap_Type,Final_Objective,Paper_Gap,Standard_Gap,Best_Gap,Total_Iterations,Total_Time,Converged,Stepsize_Info
F2CSA,standard,0.06769069284200668,0.5091593265533447,0.5091593265533447,0.4459279179573059,200,198.50819635391235,False,N/A
SSIGD_Strongly,standard,0.7649261951446533,1.7475254535675049,1.7475254535675049,1.40261709690094,200,156.0545003414154,False,diminishing
DS-BLO,standard,0.06516744941473007,0.49864059686660767,0.49864059686660767,0.44439131021499634,200,97.3640730381012,False,N/A
